ALL-INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1813-2006. THE RAINFALL FIGURES ARE IN MM.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1813   10.0   14.2   20.1   25.6   52.0  190.8  274.1  222.6  153.0   64.2   78.3   13.7 1118.6   24.1   97.7  840.6  156.2
1814    9.0   12.3   14.2   22.5   44.3  133.1  242.4  246.1  215.8   55.8   16.2    9.7 1021.4   21.3   81.1  837.3   81.7
1815   18.5   14.7   16.5   26.1   51.4  149.8  373.0  215.9  156.7   71.4   92.6   15.7 1202.5   33.2   94.1  895.5  179.7
1816    8.5   16.0   14.1   22.2   44.8  134.6  297.5  244.2  217.9   54.6   27.7    6.2 1088.5   24.5   81.2  894.2   88.6
1817   10.5   12.8   14.7   23.2   46.7  242.3  269.9  226.0  238.2  103.9   56.7   15.5 1260.4   23.2   84.6  976.6  176.0
1818   10.0   14.2   16.2   30.4   50.5  187.3  319.1  340.3  189.5  115.4   65.2   20.0 1357.9   24.1   97.1 1036.1  200.5
1819    8.5   12.1   13.5   38.1   42.0  135.8  287.6  244.0  197.5   38.5   28.1    5.8 1051.5   20.7   93.6  864.9   72.3
1820    9.4   13.4   71.3   27.0  134.3  163.1  310.4  275.7  163.0   84.3   14.3   43.9 1310.0   22.7  232.6  912.2  142.5
1821   25.1   13.2   16.5   33.7   43.6  140.5  254.5  286.6  205.8   75.4   27.6   11.7 1134.3   38.3   93.9  887.3  114.7
1822   18.5   12.6   13.9   26.1   43.2  186.7  266.0  310.1  197.6   99.7   46.3    9.3 1230.1   31.1   83.2  960.4  155.3
1823   15.1   12.7   21.3   22.0   44.7  163.8  242.6  254.0  135.1   57.1    4.7    3.9  976.9   27.8   88.0  795.4   65.8
1824   16.9   15.0   16.9   26.7   52.9  115.9  242.7  285.3  126.3   91.7   28.7   12.6 1031.4   31.8   96.4  770.2  132.9
1825   10.3   13.5   15.9   25.1   72.9  186.6  297.5  269.2  167.6   98.0   28.4   17.9 1202.8   23.8  113.9  920.9  144.3
1826   17.8   10.6   11.8   21.5   66.5  220.2  303.7  276.0  178.8   41.4   74.7   27.2 1250.3   28.4   99.8  978.8  143.4
1827   55.5   14.2   39.3   21.6  143.4  278.5  257.7  234.9  206.1   87.2   57.4   15.1 1410.9   69.7  204.2  977.3  159.8
1828   12.7   13.7   34.7   19.6   46.1  146.4  311.5  233.5  200.0    8.3    1.0    0.6 1106.8   26.4  100.4  891.5   88.5
1829    7.8   22.0   21.2   19.7   51.5  211.3  253.4  228.1  124.6   84.1   15.7   17.6 1057.0   29.8   92.4  817.5  117.3
1830    6.8    7.3   21.4   44.3   78.4  175.9  277.6  211.9  113.7   76.4    9.1   11.2 1033.9   14.1  144.1  779.0   96.6
1831    6.3   20.2   14.7   38.7   34.5  209.1  235.1  295.3  222.8   85.7   35.5   18.0 1216.0   26.5   88.0  962.3  139.1
1832    7.4   15.1   28.8   22.9   45.2  112.5  295.9  213.6  153.1   48.7    2.6    2.2  948.0   22.5   96.8  775.1   53.5
1833    8.1    9.9    7.5   35.7   80.3  115.0  257.8  248.9  197.6   61.3   23.5   15.3 1060.8   18.0  123.5  819.3  100.0
1834    8.0   11.2   17.9   41.1   47.3  166.7  269.3  280.7  166.0   86.4   15.9    5.7 1116.2   19.2  106.3  882.7  108.0
1835    8.3    9.0   17.9   45.4  105.9  151.5  267.0  334.7  200.9   74.4   32.1    6.5 1253.7   17.3  169.2  954.2  112.9
1836    7.2   18.0   12.6   23.1   41.2  145.3  260.4  305.9  136.8   50.5   43.8    8.2 1053.1   25.3   76.9  848.4  102.5
1837   11.7   12.4   11.0   20.8   59.5  143.8  246.4  279.4  135.1   83.3   75.9   13.3 1092.7   24.1   91.2  804.8  172.5
1838    7.0   11.4   16.9   22.3   26.5  166.5  185.4  205.9  139.7   42.5   36.1    8.5  868.8   18.3   65.7  697.6   87.2
1839   22.0    9.7   13.4   23.4   58.7  154.1  301.4  256.1  171.1   39.4   37.3    6.6 1093.2   31.7   95.5  882.7   83.3
1840    6.8    7.0   15.1   17.9   51.2  167.1  254.5  223.5  128.7   55.8   41.7    2.8  972.2   13.8   84.2  773.8  100.3
1841   16.1    7.7   16.4   29.9   57.3  179.3  263.6  279.2  180.1  118.5   20.4    4.7 1173.5   23.9  103.7  902.2  143.7
1842   21.8    8.6   16.6   18.3   60.3  180.4  263.3  297.9  189.5   45.6   18.9    4.1 1125.3   30.5   95.1  931.2   68.6
1843   47.9    8.0   26.6   34.4   95.1  158.7  266.5  219.2  163.4   87.4    2.4   33.2 1142.6   55.9  156.1  807.7  122.9
1844   10.3   12.5   14.9   20.5   74.8  141.2  285.2  248.5  112.8   56.1    9.4   28.0 1014.2   22.8  110.2  787.6   93.5
1845    9.3   37.5   23.5   23.1   60.4  189.2  325.4  235.7   97.1   47.1   12.2   22.8 1083.3   46.8  107.0  847.4   82.1
1846    4.8   11.2   13.5   14.1   68.1  279.2  309.3  182.2  168.3   78.6   24.5    9.7 1163.5   16.0   95.6  939.1  112.8
1847   16.7   20.8   10.3   31.1   70.7  192.6  271.4  244.2  139.0  101.2   76.7   16.8 1191.6   37.5  112.1  847.2  194.7
1848    4.0    9.2    8.3   30.9   80.0  166.5  203.7  197.9  119.9   75.9   17.7   12.7  926.6   13.2  119.1  688.0  106.3
1849   36.3   10.0   11.8   30.8   53.4  179.5  210.2  239.4  169.1  101.0   25.7   18.0 1085.2   46.2   96.0  798.3  144.7
1850   30.5   28.3   13.3   30.0   30.3  174.8  240.3  260.1  188.3   76.5   31.5   11.6 1115.4   58.8   73.5  863.4  119.6
1851   33.1   26.9    9.8   28.0   49.8  153.7  297.5  173.3  119.5   93.6   38.9    5.5 1029.7   60.0   87.6  744.0  138.1
1852    5.8    7.0   58.3   26.0   93.1  203.6  300.5  219.7  156.9   61.1   29.4   21.0 1182.3   12.7  177.4  880.6  111.5
1853   32.3    8.6   27.5   25.1   41.6  203.5  308.0  170.3  118.5   90.4   17.6    1.3 1042.2   40.9   94.2  800.3  106.7
1854    7.2   18.4    4.4   28.0   30.7  212.9  236.4  303.2  183.8  102.4   41.2   10.5 1179.1   25.6   63.1  936.3  154.1
1855    9.4   13.2   32.9   38.5   32.5  142.6  290.2  133.9  178.7   50.8    1.2   11.8  935.7   22.6  103.9  745.4   63.8
1856   11.5    5.2   17.1   32.2  109.9  207.4  303.7  274.5  114.0   84.3   26.1   12.6 1198.4   16.7  159.2  899.5  123.0
1857   25.0   15.6    7.5   29.9  103.2  166.0  244.4  249.8  170.4   90.9   25.9    1.8 1130.5   40.6  140.6  830.7  118.7
1858   15.1   12.2    7.5   20.7  103.8  123.5  308.0  208.2  173.8   17.5    4.0    1.0 1118.1   27.3  132.0  813.5  145.3
1859   14.7   17.8   31.7   64.7   39.9  194.8  259.9  285.0  173.1   68.1   31.2   13.4 1194.4   32.5  136.4  912.8  112.7
1860    9.0   17.1   10.7   22.1   46.2  126.1  266.2  195.0  145.8   79.3    5.9    4.6  927.9   26.1   79.0  733.1   89.7
1861   16.1    2.7   17.3   26.2   70.7  245.8  363.6  279.9  161.9   79.5   30.5    6.5 1300.9   18.8  114.3 1051.2  116.6
1862   11.8    5.8   21.9   27.5   42.1  190.7  298.6  260.6  216.2  132.5   22.7    6.6 1237.0   17.6   91.5  966.1  161.9
1863   14.4    5.4   22.5   37.0   43.8  240.1  328.0  238.9  134.2   89.5   15.6   18.0 1187.4   19.8  103.3  941.2  123.1
1864    8.4   14.9    8.4   28.5   62.9  146.8  262.6  213.7  124.5   45.0   27.0    7.1  949.9   23.3   99.9  747.6   79.1
1865   10.7   27.3   33.2   43.8   85.2  128.7  265.4  297.2  129.8   41.8   21.5   13.6 1098.1   38.0  162.1  821.0   76.9
1866   19.5   21.4    5.7   31.3   27.2  162.7  302.3  268.0  114.9   77.6   13.1   17.7 1061.4   40.8   64.2  847.9  108.4
1867   11.0   14.5   19.1   28.7   58.5  205.5  302.8  274.0  180.6  100.4   14.8    5.0 1215.0   25.5  106.2  963.0  120.2
1868   22.6   19.8   13.7   31.0   47.2  218.9  234.9  192.9  130.6   32.7    8.9    2.4  955.4   42.3   91.9  777.2   43.9
1869   12.7    9.0   35.8   17.7   37.0  153.5  268.8  196.1  244.0  101.2   25.3   18.8 1120.0   21.8   90.5  862.4  145.3
1870   12.5    4.5   23.0   20.1   32.0  230.2  312.6  246.1  183.6  128.1   18.9    5.5 1217.2   17.0   75.1  972.6  152.6
1871   22.2   17.9   16.8   35.6   68.5  235.0  321.1  209.4  194.4   36.9   36.0   10.8 1204.7   40.1  121.0  959.9   83.7
1872   16.0   11.1    9.4   26.3   47.8  199.0  311.8  269.1  189.2   73.4   29.4   18.9 1201.3   27.2   83.4  969.0  121.7
1873    6.5   16.0   16.5   26.4   47.4  123.3  303.3  224.3  168.6   59.0   11.5    9.3 1012.0   22.4   90.3  819.5   79.7
1874   10.9   19.2   14.3   18.3   74.5  249.1  332.7  242.1  209.3   89.2   18.3    5.4 1283.4   30.1  107.1 1033.3  112.9
1875   11.2   17.1   12.6   24.6   51.4  198.0  323.9  244.7  230.3   50.6    8.2    7.4 1179.9   28.3   88.6  996.8   66.2
1876    2.4    3.8   18.7   19.9   42.5  127.6  324.7  211.3  167.0   49.2    9.0    2.6  979.0    6.3   81.1  830.7   60.9
1877   35.7   28.6   24.9   35.0   66.2  147.9  162.2  154.3  145.0  117.0   23.1   45.9  985.8   64.3  126.1  609.4  186.0
1878   16.3   13.5   11.2   40.7   74.3  145.0  311.7  359.4  223.7   72.2   25.9   13.7 1307.6   29.9  126.1 1039.8  111.8
1879    3.3   12.2   13.0    9.3   89.8  199.8  265.7  339.7  169.5   87.3   19.4    9.6 1218.6   15.5  112.1  974.7  116.3
1880    6.0   24.0   14.8   24.0   56.0  195.0  305.9  176.0  186.8   79.9   51.8   14.4 1134.6   30.0   94.8  863.7  146.1
1881    2.6    6.2   38.9   21.0   54.8  166.6  305.3  287.8  141.4   47.6   33.3    7.4 1112.9    8.8  114.6  901.1   88.4
1882   14.7   12.0    9.5   18.0   64.5  230.9  359.0  210.3  162.3   76.9   53.4    5.6 1217.2   26.7   92.0  962.5  136.0
1883   27.3    4.6   20.2   18.6   65.1  207.9  290.1  187.5  183.3   78.6   30.1   15.9 1129.2   32.0  103.8  868.9  124.6
1884    7.9    7.9   10.3   19.4   41.6  161.2  288.0  268.0  249.9   92.7   29.9   27.8 1204.5   15.8   71.2  967.1  150.4
1885   18.4   10.3   13.9   20.9   53.8  205.9  298.7  293.0  128.9   73.1   30.7   55.4 1203.0   28.7   88.6  926.4  159.2
1886   10.2    3.0   26.7   13.0   79.5  210.2  341.7  238.3  145.0  123.6   21.2   16.8 1229.2   13.1  119.2  935.3  161.6
1887   22.8    1.5   16.0   22.9   57.0  202.2  321.3  280.5  156.1   87.9   39.5   14.8 1222.7   24.3   95.9  960.2  142.2
1888   22.7   15.4   13.2   26.5   58.7  148.2  308.1  301.6  146.0   38.9   52.7    8.0 1140.1   38.1   98.4  903.9   99.6
1889   19.8   22.0    7.5   24.5   48.6  223.8  309.1  291.3  165.9   83.5   25.0    8.7 1229.6   41.8   80.5  990.1  117.2
1890    4.6    3.1   18.4   29.6   39.4  249.5  341.0  231.9  163.5   65.4   30.0   14.4 1190.8    7.7   87.4  986.0  109.7
1891   17.4   17.5   39.6   21.0   62.6   96.0  259.5  264.0  223.6   68.6   17.7    8.6 1096.1   34.9  123.2  843.1   94.9
1892    6.7   13.8    6.4   34.5   59.5  157.5  336.2  343.6  212.9   88.8   13.3    8.6 1281.8   20.5  100.4 1050.2  110.7
1893   29.1   35.8   43.8   26.9   95.8  258.7  277.9  225.4  230.0   97.6   61.7    2.5 1385.2   64.9  166.5  992.0  161.8
1894   19.9   19.0   21.8   27.3   35.8  234.7  325.2  269.0  203.0  143.2   38.9   20.8 1358.7   38.9   84.9 1032.0  202.9
1895   19.8   10.8   12.4   38.9   40.7  210.1  269.0  246.3  131.3   73.8   14.3   12.5 1079.9   30.6   92.0  856.7  100.6
1896    4.8    9.0    7.8   16.9   46.6  216.0  285.7  267.0   73.7   17.9   43.9   21.8 1011.2   13.8   71.4  842.4   83.6
1897   13.2   14.2   22.8   23.0   45.1  163.2  291.7  307.6  197.7   80.1   14.2    2.9 1175.6   27.4   90.9  960.1   97.2
1898    3.8   41.6    2.9   21.7   44.2  183.2  308.2  246.9  204.5   66.1   40.0   16.9 1180.1   45.3   68.9  942.8  123.0
1899    7.9   10.0    7.3   54.1   56.2  228.3  225.1  143.0   98.2   53.5    4.7    2.8  891.1   17.9  117.6  694.6   61.0
1900   22.7    7.2   10.2   43.7   42.3  138.5  275.5  292.4  246.4   46.6   10.6   19.7 1155.7   29.9   96.2  952.7   76.9
1901   35.4   35.0   14.0   29.6   43.9  125.9  240.8  278.4  126.5   51.8   46.2   11.2 1038.8   70.4   87.5  771.6  109.2
1902    6.9    3.0   14.3   35.4   45.6  109.3  317.5  204.8  225.5   72.5   27.1   27.1 1089.1    9.9   95.3  857.1  126.8
1903   12.1    5.7   14.4   13.8   60.0  131.9  280.2  275.4  208.5  139.6   39.1   18.0 1198.6   17.8   88.2  896.0  196.7
1904    9.2    8.9   26.5   27.8   73.7  186.6  283.2  217.9  125.4   67.5   10.4   14.0 1051.2   18.0  128.0  813.2   91.9
1905   19.4   19.4   29.6   26.9   53.7  100.1  264.3  214.0  169.5   61.0   11.5    4.1  973.5   38.7  110.2  747.9   76.6
1906   16.3   46.2   23.9   12.6   36.4  188.1  310.1  265.9  182.0   54.5   20.6   25.1 1181.8   62.5   72.9  946.2  100.2
1907    9.6   41.9   30.9   53.3   30.5  157.0  239.2  314.0   94.7   25.0   26.5   11.9 1034.4   51.4  114.7  804.9   63.4
1908   18.4   14.2    7.4   20.0   42.1  138.0  339.6  310.2  143.4   43.2    6.9    3.4 1087.0   32.7   69.5  931.2   53.6
1909   20.9    8.9    4.3   64.9   59.9  236.8  325.2  240.2  160.0   38.6   12.4   25.4 1197.5   29.8  129.2  962.2   76.4
1910    9.1    6.1    9.6   21.9   39.3  218.3  250.4  296.7  204.5  118.5   40.6    1.5 1216.5   15.2   70.7  970.0  160.6
1911   30.7    2.3   33.6   19.9   46.7  199.3  160.5  211.6  198.1   75.8   46.7   12.6 1037.7   32.9  100.1  769.6  135.1
1912   13.1   16.4   15.7   31.9   40.1  126.7  340.5  271.5  128.9   70.0   58.4    3.5 1116.6   29.5   87.7  867.5  131.9
1913    1.8   36.0   20.1   19.3   78.6  237.2  272.8  192.2  111.6   76.7   19.7   23.1 1089.2   37.8  118.1  813.7  119.6
1914    1.9   17.8   18.1   34.5   66.9  162.0  360.4  250.1  193.0   49.8   22.3   18.6 1195.3   19.7  119.5  965.4   90.7
1915   20.0   32.5   41.8   27.6   62.6  169.8  252.0  232.8  194.5   84.9   53.5    7.0 1178.9   52.5  132.1  849.0  145.3
1916    1.2   12.4    4.0   24.9   49.1  226.0  280.3  314.1  214.2  139.3   46.2    3.4 1315.0   13.6   78.1 1034.6  188.8
1917    4.8   32.0   17.1   25.9   76.0  227.8  277.5  281.1  292.7  161.8   31.6    7.0 1435.2   36.7  119.0 1079.1  200.4
1918   12.0    2.4   19.5   24.3   94.8  180.3  144.1  235.7  101.2   18.1   51.0   12.3  895.9   14.4  138.6  661.4   81.4
1919   44.4   11.8   11.3   21.3   55.1  176.4  310.0  299.2  158.5   67.8   58.7   17.8 1232.3   56.2   87.7  944.1  144.3
1920   21.9   12.1   29.4   24.3   46.7  169.1  324.6  166.8  125.8   53.2   36.4    1.0 1011.2   34.0  100.4  786.3   90.6
1921   35.3    3.0   10.0   34.7   33.4  173.8  275.5  279.6  205.2   67.6   18.2    6.9 1143.2   38.4   78.1  934.0   92.8
1922   25.8    6.5    5.2   18.2   42.1  202.3  331.9  240.2  211.1   50.8   62.1   13.0 1209.2   32.3   65.5  985.5  125.9
1923   15.1   33.6   15.8   19.7   42.9  101.8  327.8  287.9  180.1   63.2   18.8   19.2 1125.9   48.7   78.4  897.5  101.2
1924   16.8   11.8    8.0   23.2   43.6  128.0  354.1  252.1  247.5   60.4   54.6   15.1 1215.1   28.6   74.9  981.6  130.0
1925    7.0    3.5   11.2   33.6   79.3  205.5  317.2  223.5  121.3   68.6   48.3   18.0 1137.0   10.5  124.0  867.6  134.9
1926   24.0    5.9   46.8   26.3   55.8   89.1  328.3  337.2  204.8   53.0   13.5    5.7 1190.6   29.9  128.9  959.5   72.3
1927    8.4   27.5   19.9   23.0   53.5  165.0  334.9  241.3  152.4   61.9   61.1   10.8 1159.7   35.9   96.4  893.7  133.7
1928   16.1   38.9   10.0   26.4   40.5  162.0  300.0  208.6  117.3  122.0   21.6   22.0 1085.4   55.0   76.9  787.9  165.6
1929   21.6   14.0   10.7   41.6   44.9  193.0  299.1  235.6  120.5   98.8   21.7   33.5 1135.0   35.6   97.2  848.1  154.0
1930   14.7   14.3   13.8   24.8   58.8  175.3  306.0  195.7  180.6   99.9   51.8   12.0 1147.6   29.0   97.3  857.6  163.6
1931    5.0   21.0   11.7   22.0   46.0  112.9  307.0  310.2  206.8  118.7   43.0   25.8 1230.1   26.0   79.8  936.9  187.4
1932    3.0   15.2   13.8   21.6   77.4  117.8  316.0  224.0  185.5   79.4   59.5   11.7 1124.9   18.2  112.8  843.3  150.6
1933    8.5   20.7   13.3   40.3  112.1  221.3  279.6  320.9  220.7   98.9   19.4   16.8 1372.6   29.3  165.8 1042.5  135.1
1934   21.5    7.2   13.2   25.3   33.7  213.8  273.8  294.2  167.3   67.7   30.2    8.1 1156.0   28.7   72.2  949.1  106.0
1935   21.4   14.2    8.9   31.6   21.6  139.9  311.1  238.8  181.9   55.2   15.0   11.8 1051.3   35.5   62.1  871.7   82.0
1936    5.8   29.6   23.3   18.6   85.9  253.2  297.3  234.8  205.1   64.0   59.0   15.7 1292.3   35.4  127.7  990.4  138.7
1937    2.1   49.4   11.8   46.0   48.3  166.7  346.7  208.8  170.0   95.9   23.4   11.5 1180.6   51.5  106.2  892.2  130.7
1938   19.1   19.9   13.9   21.5   67.1  258.4  297.1  252.8  146.8   70.6   14.8    3.7 1185.6   39.0  102.4  955.1   89.1
1939    9.1   19.8   18.2   30.4   30.9  165.3  275.6  238.2  161.8   88.0   37.4    1.3 1076.0   28.9   79.5  840.9  126.7
1940   11.2   20.7   34.3   21.3   64.4  171.9  304.2  302.2  114.9   66.1   46.3   16.0 1173.5   31.9  119.9  893.3  128.4
1941   22.2   10.7    7.1   22.7   67.8  176.1  224.8  245.6  138.3   66.7   31.7   16.0 1029.9   33.0   97.6  784.8  114.5
1942   20.7   34.1   10.5   36.5   46.8  185.2  355.4  302.0  194.7   44.0   18.5   27.6 1275.8   54.8   93.8 1037.2   90.0
1943   42.4    8.6   12.5   39.5   82.5  169.8  315.8  245.0  200.7   96.9   22.9    4.2 1240.9   51.0  134.5  931.4  124.0
1944   23.4   31.8   52.4   27.1   41.2  146.4  349.2  294.6  139.8   88.0   32.2   13.3 1239.4   55.2  120.7  930.0  133.5
1945   29.3    5.8    7.3   34.4   40.2  164.9  327.0  238.0  230.6   87.4   23.8    3.4 1192.2   35.2   81.9  960.4  114.6
1946    1.8   13.8   16.7   42.9   55.3  219.2  310.4  292.7  140.6   90.9   83.3   37.3 1305.0   15.5  115.0  963.0  211.5
1947   19.9   12.3   19.5   30.3   37.5  122.8  305.7  296.7  259.0   64.3    6.2   20.0 1194.1   32.2   87.3  984.2   90.4
1948   28.3   19.6   22.1   27.2   63.4  161.4  313.2  294.8  180.9   68.1   76.7    5.2 1260.8   47.9  112.7  950.2  150.0
1949    4.6   20.1    8.1   38.5   84.3  138.8  332.6  247.4  237.0   95.4   11.4    1.5 1219.9   24.7  130.9  955.8  108.4
1950   14.1   18.8   25.4   10.1   48.0  162.2  347.3  253.5  199.8   50.9   32.8    8.8 1171.9   33.0   83.5  962.9   92.5
1951   10.5    4.7   28.8   35.8   46.9  161.7  255.0  213.0  132.5   72.7   38.8    1.6 1001.9   15.2  111.5  762.2  113.1
1952    5.3   15.5   21.4   27.8   64.2  189.5  280.1  262.3  107.2   76.1    6.5   19.9 1075.9   20.8  113.4  839.2  102.5
1953   26.6    5.2   11.0   28.2   35.2  164.7  358.4  280.3  174.5   88.5   15.2    3.4 1191.1   31.8   74.4  977.9  107.1
1954   21.4   28.2   15.0   21.1   47.8  152.9  312.2  241.5  246.0   84.2    2.4   15.0 1187.8   49.6   83.9  952.6  101.7
1955   21.2    4.2   13.9   29.9   71.8  191.2  257.7  313.6  232.6  164.7   30.7   11.0 1342.6   25.4  115.6  995.2  206.4
1956   12.5    8.4   21.4   24.5   86.2  213.9  346.7  262.9  183.2  171.7   47.1    9.4 1387.9   20.9  132.1 1006.7  228.2
1957   35.3    7.3   25.2   20.3   55.0  154.1  290.9  264.0  134.7   60.9   29.9   11.8 1089.5   42.7  100.5  843.7  102.6
1958    9.1   10.0   11.3   28.6   60.6  132.1  313.2  306.3  228.2  102.2   34.0    8.3 1244.0   19.1  100.6  979.8  144.5
1959   27.9   13.4   11.3   24.9   65.5  158.5  341.6  265.2  213.5  136.8   25.6    4.7 1288.8   41.4  101.7  978.7  167.0
1960   11.9    1.2   27.3   16.6   66.4  147.1  311.7  278.5  169.0   86.6   43.4    6.8 1166.5   13.1  110.3  906.4  136.8
1961   24.8   29.2   13.6   19.3   73.0  185.9  342.5  316.8  243.6  133.5   18.3    9.4 1409.7   53.9  105.9 1088.7  161.1
1962   14.3   15.6   13.7   32.4   64.4  108.9  281.5  261.8  230.9   84.9   14.9   27.4 1150.6   29.9  110.5  883.1  127.2
1963    9.5    6.7   19.5   31.5   49.5  156.2  268.4  333.9  175.8   88.7   27.3   12.8 1179.8   16.2  100.5  934.3  128.8
1964    4.8    5.8   10.0   24.8   48.8  140.5  358.9  275.4  219.1   70.4   28.0    8.7 1195.1   10.6   83.6  993.9  107.0
1965    7.3   13.5   18.3   28.5   39.3  112.3  280.9  206.5  141.4   39.7   18.4   25.5  931.5   20.7   86.1  741.1   83.6
1966   13.6   10.6    7.6   17.0   52.3  178.5  252.4  228.2  143.1   62.9   60.1   17.6 1044.0   24.2   76.9  802.2  140.6
1967    8.9    4.3   51.1   21.4   39.4  149.9  322.3  303.1  178.8   43.8   14.2   53.0 1190.3   13.3  112.0  954.1  111.0
1968   18.2   14.8   20.6   26.3   30.1  151.1  334.9  218.5  127.4   70.5   23.5    8.9 1044.9   33.1   77.0  831.9  103.0
1969    6.4    5.5   12.3   26.8   59.1  126.8  322.7  263.9  190.0   57.1   42.7   14.0 1127.3   11.8   98.2  903.4  113.8
1970   21.9   23.4   18.2   24.4   61.6  221.3  234.5  313.5  221.6   75.5   20.8    1.0 1237.7   45.2  104.2  990.9   97.3
1971   14.2   14.3    9.4   48.0   77.5  242.2  285.0  293.1  182.0  105.1   14.1   11.2 1296.2   28.5  134.9 1002.3  130.4
1972    4.7   18.9    7.2   22.6   52.8  122.9  211.0  235.4  139.1   66.6   31.2   20.3  932.7   23.7   82.5  708.4  118.2
1973   10.6   13.8   10.9   20.8   53.5  160.9  294.6  324.9  194.0  122.2   17.8   17.7 1241.7   24.4   85.2  974.4  157.7
1974    5.0    5.3   14.5   25.9   63.9  107.0  321.3  251.2  145.9   96.3   11.3    7.9 1055.5   10.3  104.2  825.4  115.5
1975   11.1   13.5   19.2   20.0   43.8  201.7  318.8  292.2  242.8  110.7   27.0    3.2 1304.0   24.6   83.1 1055.5  140.8
1976    7.3   13.6   14.9   32.1   41.2  146.2  304.5  303.9  153.9   36.9   63.4    4.8 1122.7   20.9   88.3  908.4  105.1
1977   15.7    6.6    8.7   49.6   80.1  186.6  351.3  249.1  156.4   97.8   71.2   12.0 1285.1   22.3  138.4  943.4  181.0
1978    9.5   25.1   30.0   24.2   55.2  219.0  300.8  293.1  178.1   54.5   50.7   24.4 1264.5   34.5  109.4  991.0  129.7
1979   18.9   32.7   15.4   18.2   42.7  149.8  247.0  201.3  125.1   48.3   88.3   14.0 1001.7   51.6   76.4  723.2  150.6
1980    6.5    8.9   20.5   23.9   45.3  225.7  325.2  279.4  137.0   56.0   26.9   21.6 1177.2   15.4   89.8  967.4  104.5
1981   20.5   10.5   29.9   29.6   64.9  162.1  326.6  237.2  197.2   51.6   32.0   14.5 1176.5   31.1  124.3  923.1   98.1
1982   20.2   13.3   36.1   39.0   56.1  140.4  237.3  289.6  121.1   45.4   51.8    9.2 1059.6   33.5  131.2  788.4  106.5
1983   13.2   12.0   17.4   41.6   58.9  140.9  296.1  315.2  262.9   91.2   14.0   28.6 1292.0   25.2  117.9 1015.1  133.8
1984   17.6   32.7   15.7   32.0   40.1  201.5  289.0  275.7  153.3   57.9   14.9    9.6 1140.1   50.3   87.9  919.6   82.4
1985   20.0    6.6   10.2   24.9   50.6  161.4  290.1  240.0  164.5  124.5   22.4   18.5 1133.6   26.5   85.6  856.0  165.5
1986   13.5   30.2   11.9   30.6   48.1  177.0  256.6  221.0  125.1   67.7   40.8   21.5 1044.1   43.7   90.7  779.7  130.0
1987   13.1   13.6   16.8   24.0   50.9  126.4  210.7  258.7  143.8   89.9   47.6   24.9 1020.5   26.7   91.7  739.7  162.5
1988    4.0   14.1   26.7   34.8   48.0  169.5  357.7  303.3  216.8   46.0   21.4   15.2 1257.5   18.1  109.6 1047.3   82.6
1989   11.7    5.3   20.0   17.6   47.6  189.5  292.8  238.1  172.4   48.6   18.8   14.7 1077.2   17.0   85.2  892.7   82.2
1990    5.8   36.5   28.4   28.7  108.7  176.7  293.5  280.9  206.6   93.7   33.4   14.1 1307.0   42.2  165.8  957.7  141.3
1991    9.4   12.3   16.3   30.5   48.7  203.1  274.1  267.0  127.6   63.7   30.6   19.0 1102.4   21.7   95.6  871.8  113.3
1992   12.3   12.2    7.2   15.2   52.8  141.4  258.6  284.8  156.7   65.2   50.3    4.3 1060.7   24.4   75.2  841.5  119.7
1993    7.4   14.6   24.7   27.1   55.9  179.5  305.9  200.2  220.2   87.4   34.2   20.1 1177.1   22.0  107.6  905.8  141.7
1994   20.5   20.6   11.1   35.2   45.1  212.0  361.8  301.5  145.4   86.6   29.1    5.7 1274.5   41.0   91.3 1020.7  121.4
1995   31.3   18.8   21.3   20.6   77.4  133.1  294.4  285.4  200.2   75.5   41.7    5.3 1205.1   50.1  119.3  913.1  122.5
1996   20.9   22.3   17.1   25.6   38.0  190.8  270.5  291.7  166.2   98.2   15.4   19.4 1176.0   43.2   80.6  919.2  132.9
1997   13.2    4.9   16.6   42.7   46.1  172.2  297.8  280.2  166.2   75.0   64.5   60.8 1240.0   18.1  105.3  916.4  200.3
