EAST PENINSIULAR INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1848-2006. THE RAINFALL FIGURES ARE IN MM.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1848    7.5   15.5   12.9   22.4   45.1  156.4  219.2  200.1  113.8  209.7   36.6    3.5 1042.7   23.0   80.4  689.5  249.8
1849   18.6    4.4    7.1   15.0   22.1  161.3  186.3  208.2  165.0   81.7   21.3  150.8 1041.8   23.0   44.2  720.8  253.9
1850    2.7    7.7    3.4   20.5   19.4  165.8  284.5  153.1  160.6  183.8   42.6    3.6 1047.7   10.4   43.3  763.9  230.0
1851    2.7    9.0    3.2   28.6   24.0  126.8  291.7  202.5  134.1  163.9   77.9    3.6 1068.2   11.8   55.8  755.1  245.5
1852    3.7    4.9   61.5   30.4   65.3  131.9  249.4  228.1  299.2  145.2   13.7   34.2 1267.7    8.6  157.3  908.6  193.1
1853   14.2    4.6    4.2   12.9   26.2  109.1  235.4  253.4  143.7  109.1    9.9    1.0  923.8   18.8   43.3  741.7  120.0
1854    2.2   18.3    6.7   32.4   22.6  104.9  335.9  271.5  249.0  191.9   28.8    1.0 1265.2   20.5   61.7  961.3  221.7
1855   24.9   24.2   16.7   38.0   29.5  113.8  257.0  228.9  229.6  100.3   17.5    1.0 1081.5   49.2   84.1  829.4  118.8
1856   10.5    4.7   15.3   26.6   57.8  175.0  215.2  234.9  152.6  248.5   87.9    2.2 1231.2   15.2   99.6  777.7  338.7
1857    2.4    4.9    8.4   25.2  107.5  138.2  228.1  235.1  196.7   86.8   38.5    1.1 1072.7    7.3  141.1  798.0  126.4
1858    2.8    9.2    5.2   12.8   30.8  142.0  255.6  221.3  167.7  150.9    9.7    6.0 1013.9   11.9   48.8  786.5  166.6
1859    2.3   10.0   21.6   23.6   26.8  127.3  182.2  294.6  165.3  115.9   10.0    1.0  980.7   12.3   72.0  769.4  126.9
1860    2.4    5.0    4.2   17.6   12.0  187.6  274.3  281.0  282.6   96.0   10.1    1.1 1173.8    7.4   33.8 1025.6  107.1
1861   11.7    4.7   25.5   14.2   32.0  111.5  194.7  402.3  197.0   87.7  137.5    1.1 1219.9   16.4   71.7  905.5  226.3
1862   26.3    7.6   12.3   20.2   29.1  163.5  216.2  211.3  233.0  308.0   12.8    9.3 1249.7   33.9   61.6  824.1  330.1
1863    2.0   16.9   22.1   58.3   23.2  139.9  210.7  168.7  228.3  144.2   36.4    0.2 1050.9   18.9  103.6  747.7  180.7
1864    6.4   24.6    4.5   13.9  193.6  121.0  212.1  168.6  133.7   56.9  108.9    1.3 1045.6   31.0  212.1  635.4  167.2
