NORTH CENTRAL INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1831-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1831    9.0   34.1   18.7   39.0   11.3  232.8  298.4  307.9  237.0   99.1   63.5   13.2 1363.9   43.1   69.0 1076.1  175.8
1832   12.4   22.0   38.0   12.1   39.0  107.6  325.0  374.7  213.9   79.5    3.4    4.1 1231.6   34.4   89.0 1021.2   87.0
1833
1834
1835
1836
1837
1838
1839
1840
1841
1842    5.6    6.4   28.1   16.1   20.4  177.1  353.7  318.7  226.1  125.2    3.6   29.8 1310.9   12.0   64.7 1075.6  158.5
1843    7.4   11.0    8.0    9.3   42.5  150.4  215.9  246.9  144.3   85.2    3.5    3.2  927.7   18.4   59.9  757.5   91.9
1844   11.6   19.0    9.6   17.8   52.9   82.0  304.8  315.7  131.9   16.8    2.9    1.4  966.5   30.7   80.3  834.4   21.2
1845    6.8   43.3   18.3   13.2   32.7  192.0  394.8  321.3   93.5   18.5    3.2    9.6 1147.2   50.1   64.2 1001.6   31.3
1846    2.4   27.0   38.9    6.3   27.9  230.2  289.5  271.0  232.3   21.1    3.1    0.5 1150.2   29.4   73.1 1023.0   24.7
1847   24.3   10.1    3.3    9.6   34.3  104.5  343.3  369.7  177.6  165.8   48.4    0.5 1291.6   34.4   47.3  995.2  214.7
1848    1.3    8.3    6.6    9.2   48.2  212.1  232.6  273.5  143.5   66.3    1.4    4.2 1007.3    9.6   64.0  861.8   71.9
1849   37.7    7.9    2.3    4.4   25.1  172.3  186.5  274.0  128.2  125.5    9.4    6.7  980.0   45.7   31.7  761.0  141.6
1850   40.1   29.0    5.1   17.6   13.6  246.2  271.6  315.2  244.5   61.2    3.1    1.4 1248.7   69.0   36.3 1077.6   65.8
1851   48.0   31.5   14.0   11.9    7.6  147.5  296.3  199.5  178.2  101.9    2.5    0.3 1038.9   79.5   33.4  821.4  104.6
1852    6.6    5.7   47.5   13.4   74.0  227.9  373.4  194.5  145.5   25.4    3.0    6.0 1123.0   12.3  134.9  941.3   34.5
1853   49.9   15.8    1.8   14.1   15.1  139.8  368.7  204.1  151.6   72.5    1.9    0.4 1035.8   65.7   31.0  864.3   74.8
1854    2.6   22.4    3.3    7.7   42.1  267.1  202.4  370.6  267.8   81.8   49.2    0.6 1317.4   25.0   53.0 1107.9  131.6
1855    4.6   15.3   56.0   42.4   14.3  135.2  386.8  166.4  280.9   21.9    3.8    0.9 1128.3   19.8  112.6  969.3   26.6
1856   31.8    3.5   35.7   10.3   33.5  219.5  288.5  305.7  178.4  146.2   17.5    0.9 1271.4   35.3   79.5  992.1  164.5
1857    4.3   15.1   10.2   15.0   41.0  157.3  400.7  311.3  215.5   35.5    4.0    1.0 1211.1   19.4   66.3 1084.8   40.5
1858   14.8   29.5    7.1   10.4   42.9  132.6  408.7  332.4  177.2   58.0    3.6   18.4 1235.9   44.4   60.4 1051.0   80.1
1859    7.9   32.3   57.6   28.5   29.7  232.5  243.5  395.5  222.9  138.6    0.0    4.8 1393.8   40.3  115.7 1094.4  143.4
1860    5.6   17.6    3.9   19.4   32.4   67.4  312.6  216.8  196.6   73.7    3.2    0.7  949.7   23.1   55.7  793.3   77.6
1861   20.0    0.6   13.1   10.7   77.6  318.7  421.4  227.8  257.4  156.6   16.8    5.3 1526.0   20.6  101.3 1225.3  178.8
1862   22.7    0.6   25.0   16.0   43.4  134.6  381.4  336.6  191.0  119.4    0.1    1.4 1272.1   23.3   84.4 1043.6  120.9
1863    9.2    9.0    2.9   12.2   27.3  235.1  362.7  340.1  238.7   90.9    5.5    0.4 1334.1   18.2   42.4 1176.6   96.8
1864    7.6   17.6    9.3   13.3   36.5   64.4  220.9  232.5  148.5   37.9   11.5    0.4  800.4   25.2   59.1  666.3   49.9
1865   11.4   19.2   40.4   34.7   89.8  110.4  361.0  256.1  135.0    2.8    8.1    2.6 1071.6   30.7  164.9  862.6   13.4
1866   21.6   43.1    3.7   39.1   10.8  162.6  320.4  307.3  196.4   35.2    1.3    1.0 1142.5   64.7   53.6  986.6   37.5
1867   20.9   36.6   14.5   25.6   52.5  261.4  383.7  283.2  263.0   88.0    8.0    1.2 1438.7   57.6   92.5 1191.3   97.3
1868   21.3   18.1    5.7   13.7   42.5  210.2  218.5  223.0  194.4   10.4    0.1    0.8  958.6   39.4   61.9  846.1   11.2
1869    3.8    4.8   31.0    4.0   18.6  125.1  306.1  227.4  248.3  151.9    0.0    6.9 1128.0    8.6   53.6  907.0  158.9
1870    7.4    3.3   16.6   15.2   15.7  204.6  380.7  366.3  228.2  133.4    4.5    0.0 1375.9   10.6   47.5 1179.9  137.9
1871    4.5   12.4   13.9   32.0   72.3  254.1  428.9  286.5  351.4   12.5    0.6   15.1 1484.3   16.9  118.3 1320.9   28.2
1872   25.1   18.6    5.9   13.1   22.7  200.1  343.0  314.2  196.9   65.6    3.0    4.2 1212.6   43.7   41.7 1054.3   72.8
1873    5.4    1.3   28.1   10.6   23.3   67.0  411.6  262.3  148.9   11.9    1.1    8.9  980.3    6.7   61.9  889.8   21.9
1874   13.6   29.5   11.0    6.2   18.4  314.2  319.6  344.0  239.7   88.5    4.6    0.3 1389.7   43.2   35.6 1217.5   93.4
1875   20.0   11.9    1.3   11.6   48.3  211.4  345.4  318.0  200.6   26.6    0.0    0.8 1195.9   31.9   61.3 1075.4   27.4
1876    1.3    0.6   11.4   13.8   24.4  108.5  351.7  268.4  245.6   95.1    0.2    0.0 1121.1    1.9   49.6  974.3   95.3
1877   60.2   39.7   19.0   33.5   61.6  124.6  207.5  218.5  113.8   80.1    1.3   21.4  981.2   99.9  114.1  664.4  102.8
1878   34.1   12.8    9.9   32.2   78.7   83.0  250.6  323.2  200.3   28.4   18.4    5.8 1077.3   46.9  120.7  857.1   52.6
1879    0.1   13.4    0.6    0.6   31.8  177.4  361.5  368.5  267.5  106.0    0.7    2.7 1330.9   13.4   33.1 1175.0  109.4
1880    1.9   39.4    3.3    5.7   54.4  175.3  379.3  237.4  140.8   62.0   13.8    3.1 1116.4   41.3   63.4  932.8   79.0
1881    0.7    2.3   42.2    6.1   48.2  209.8  335.7  355.3  129.4   72.2    3.0    0.5 1205.4    3.0   96.5 1030.2   75.7
1882    1.0   10.8    1.5   13.1   55.8  244.6  256.3  304.2  125.8   88.3   25.6    0.3 1127.3   11.8   70.4  931.0  114.2
1883   45.8    4.8   22.0    8.5   27.8  226.4  350.1  178.1  162.1   13.6    7.0    5.9 1051.9   50.5   58.3  916.6   26.4
1884    1.1    7.9    1.3    9.1   29.3  173.7  318.2  331.0  264.6   83.8    0.1    4.8 1224.8    9.0   39.7 1087.5   88.7
1885   14.5   15.1    8.6    8.2   36.7  220.6  356.4  384.6  181.9   26.4    3.9   58.8 1315.9   29.7   53.5 1143.7   89.1
1886    5.4    1.0   31.4    3.4   56.7  199.6  359.0  275.6  222.7  132.8    7.7   14.3 1309.6    6.5   91.5 1056.9  154.8
1887   35.2    0.0   10.7   15.6   87.5  150.8  324.4  363.6  169.2   83.5    1.1    1.2 1242.8   35.2  113.8 1008.0   85.8
1888   30.0   11.6    6.7   12.0   32.3   96.4  434.2  445.5  181.7    9.1   15.2    0.2 1274.9   41.6   51.0 1157.8   24.5
1889   29.4   25.7    4.3    7.1   27.9  235.2  362.9  318.4  230.8   51.1   25.9    0.1 1318.7   55.1   39.3 1147.3   77.1
1890    0.8    1.6   15.3    6.3   36.4  306.4  439.3  295.3  232.3   48.7    8.8    3.4 1394.5    2.4   58.0 1273.2   60.9
1891   21.8   14.4   69.5    4.4   73.3   87.1  232.9  373.1  263.8   40.6    5.6    0.0 1186.5   36.2  147.2  956.9   46.2
1892    3.8   21.5    0.7    5.6   22.5  174.5  388.8  362.2  148.3   34.1    7.9    0.5 1170.3   25.3   28.7 1073.8   42.5
1893   32.2   51.9   33.2   16.7  107.3  254.5  344.8  262.0  318.4  109.4   13.4    0.2 1543.8   84.1  157.1 1179.6  122.9
1894    6.1   28.5    2.5    8.9    9.6  256.8  376.6  399.5  221.3  242.1   48.9    8.4 1609.2   34.6   20.9 1254.2  299.4
1895   18.5   13.2   10.3   23.9   31.7  253.3  298.4  289.5  148.4   26.0    0.7    3.1 1117.1   31.7   65.9  989.6   29.9
1896    1.1    1.1    2.6    1.5   28.9  223.0  308.5  313.3   81.0    0.1   11.9   10.5  983.5    2.2   33.0  925.8   22.5
1897   17.5   17.3   30.2   21.2   26.3  180.4  287.3  393.0  174.9  118.2    2.3    0.1 1268.8   34.8   77.7 1035.7  120.6
1898    1.4   38.8    1.3    9.1   30.5  194.8  359.1  435.0  281.1   34.7    1.2    3.0 1390.0   40.2   40.9 1270.0   38.9
1899   19.3    6.9    1.0   35.5   49.8  248.4  448.9  277.6  110.4   24.2    0.0    0.0 1222.2   26.3   86.3 1085.3   24.2
1900   53.9    9.5    4.4   18.1   40.5  135.5  293.6  283.5  327.5   48.8    0.0   19.5 1234.8   63.4   63.0 1040.2   68.3
1901   59.1   49.3   11.5   11.7   38.1   55.9  260.8  361.5  216.1   17.8   10.8    0.7 1093.2  108.5   61.2  894.3   29.2
1902    4.5    3.8   12.9   22.7   43.2   59.8  398.3  222.5  271.3   19.8    4.7    3.2 1066.6    8.3   78.8  951.9   27.7
1903   11.7    6.6    5.9   11.6   32.8  112.5  189.6  360.5  222.3  251.9    1.0    0.0 1206.2   18.3   50.2  884.8  252.9
1904    4.8    7.3   20.2    3.1   66.5  219.0  392.6  354.7  109.3   67.0    9.6   13.7 1267.9   12.1   89.8 1075.6   90.4
1905   25.6   29.1   38.2   21.8   46.6   35.0  365.0  348.2  257.8   12.8    0.0    2.4 1182.4   54.6  106.5 1006.1   15.2
1906   18.6   79.7   27.8    0.4   26.7  182.3  374.0  301.7  191.0   40.7    2.8    1.7 1247.3   98.3   54.8 1049.0   45.3
1907    1.8   64.7   39.1   29.4   21.4  168.1  202.7  350.5  112.2    3.2    1.0    8.1 1002.4   66.5   89.9  833.5   12.4
1908   19.4   26.3    4.5    1.2   26.6  123.6  311.5  354.1  119.2   20.0    0.0    0.7 1007.1   45.7   32.3  908.4   20.6
1909   13.3    8.4    1.5   84.6   19.1  293.3  373.9  282.4  182.8   19.8    0.1   20.2 1299.6   21.7  105.3 1132.5   40.2
1910    7.8    2.6    3.7   14.3   35.4  201.6  265.7  352.2  233.5   97.4   26.6    0.0 1240.8   10.4   53.4 1053.0  124.1
1911   20.1    0.2   29.4    7.8   23.9  234.3  132.5  378.0  309.6  100.7   33.7    0.0 1270.3   20.3   61.2 1054.3  134.5
1912    8.7   21.7   16.3   18.1   30.9   87.2  364.5  326.3  131.2   17.3   47.0    0.3 1069.5   30.4   65.3  909.1   64.6
1913    1.7   70.4   29.4    1.0   74.4  274.3  278.2  301.8  143.8   40.5    6.3   16.4 1238.0   72.2  104.7  998.0   63.2
1914    0.7   17.6   22.2   21.6   92.9   87.1  435.8  361.3  127.8   11.5    0.0    3.9 1182.4   18.3  136.6 1012.1   15.4
1915   12.5   41.1   28.7    8.8   44.6  131.9  311.3  359.7  308.2   88.0   23.2    1.1 1359.1   53.5   82.1 1111.2  112.3
1916    0.0   18.7    0.1   15.1   17.5  286.1  296.4  359.6  231.7  142.3   18.0    0.0 1385.7   18.7   32.8 1173.9  160.3
1917    4.3   37.1   16.8    7.9   81.4  246.3  357.4  278.4  275.4  137.1    0.2    3.1 1445.4   41.4  106.1 1157.5  140.4
1918    3.0    0.9    6.3   12.5   51.2  259.8  150.8  358.2  168.1    2.4    2.7    2.5 1018.5    3.9   70.0  936.9    7.6
1919   63.7   19.2   10.6   13.0   42.6  198.3  384.2  345.4  199.9   74.6    6.1    2.0 1359.5   82.9   66.2 1127.8   82.6
1920    0.4   16.2   37.0    7.8   31.1   93.6  510.3  223.7  166.4   11.5    0.0    0.0 1097.9   16.6   75.8  994.0   11.5
1921   38.4    3.5    3.3   13.0   11.1  194.1  261.4  419.0  250.7   27.7    0.0    0.5 1222.8   41.9   27.5 1125.2   28.2
1922   24.8    5.1    0.5    8.3   15.3  244.4  420.7  410.7  279.4   18.1    8.7    9.2 1445.2   29.9   24.1 1355.3   36.1
1923    1.7   49.6    4.0    5.1   26.4   91.9  314.1  419.9  202.4   66.6    5.5    7.8 1195.2   51.3   35.6 1028.3   80.0
1924   14.5    8.7    2.3    6.9   14.8   86.3  471.0  269.1  286.2   45.0   53.5    5.0 1263.3   23.2   24.1 1112.5  103.5
1925    6.0    2.0    6.3   26.5   47.0  173.3  454.5  280.3  218.4   48.7   14.0    0.6 1277.5    8.0   79.7 1126.5   63.3
1926   16.5    2.7   63.7   23.0   34.7   35.0  411.4  356.4  285.1   50.0    0.7    4.8 1284.0   19.1  121.4 1087.9   55.5
1927   15.2   40.9   22.7    4.8   43.0  108.7  344.5  314.2  150.9   55.8   48.9    2.3 1151.8   56.1   70.4  918.3  106.9
1928   27.8   48.5    3.2   21.0   31.9  195.6  350.2  198.7   97.0  113.0    0.1   11.9 1099.0   76.3   56.1  841.5  125.1
1929   42.7    8.7   12.9   12.5   14.9  166.4  412.9  372.4   92.5  128.4    0.0   48.3 1312.5   51.3   40.3 1044.3  176.6
1930    6.9   11.3    8.2   14.3   20.9  113.6  410.1  283.8  265.6   32.7   49.2    9.5 1226.1   18.2   43.4 1073.2   91.4
1931    4.6   50.5   11.2    4.4   20.9   70.4  335.5  307.6  281.8  109.0   17.0    0.5 1213.4   55.1   36.4  995.3  126.6
1932    0.0   16.5    4.1    9.4   28.3   99.6  279.4  274.6  180.4   31.9   42.8    2.4  969.5   16.5   41.8  834.1   77.1
1933   20.6   38.9    5.8   43.9   82.4  184.9  308.0  317.2  197.4   79.4    3.5    1.7 1283.7   59.5  132.2 1007.5   84.6
