NORTH MOUNTAINOUS INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1844-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1844                               65.7  111.5  290.4  352.4   42.9    5.5    6.3   13.3                       797.2   25.1
1845   34.5  121.9   81.5   29.0   52.6  167.9  360.3  310.0  100.4    4.5    5.1   54.2 1321.8  156.3  163.1  938.5   63.8
1846   52.0   29.3   36.4   25.9   26.3  158.0  515.5  373.2  263.1   17.1    6.6   13.8 1517.3   81.2   88.6 1309.9   37.5
1847  133.4   84.5   34.4   25.4   25.0   59.6  357.0  286.8  111.2   35.5    6.3   13.2 1172.2  217.9   84.7  814.6   54.9
1848   39.9   50.3   36.6   70.4   59.3  105.9  227.4  215.0   68.7   18.5    6.0   29.6  927.6   90.2  166.3  617.1   54.1
1849   78.6   36.0   35.7   29.5   52.6  166.0  181.0  374.6  336.7   24.2   15.9   17.1 1347.8  114.6  117.8 1058.4   57.1
1850  118.3  112.1   57.3   59.8   24.1   97.2  177.9  458.2  191.7   12.4   13.1   39.7 1361.8  230.4  141.1  925.0   65.3
1851  156.0  128.9   46.0   47.7   23.3  112.6  340.3  340.5   89.6   25.8   16.9   12.5 1339.9  284.9  116.9  883.0   55.1
1852   42.7   52.4  167.1   41.9   90.7  188.5  543.6  339.3  158.1    8.0   27.1   13.8 1673.3   95.1  299.6 1229.5   49.0
1853  142.8   40.5   42.7   85.6   48.0  204.3  553.9  339.4  198.8  139.8    3.4    6.9 1806.0  183.2  176.3 1296.3  150.1
1854  105.9   82.0   20.2   53.7   57.4  268.4  303.8  605.3  220.4   31.7    2.6   51.1 1802.5  187.9  131.3 1397.9   85.5
1855   54.5   33.2  169.7   90.8   31.5  122.3  561.6  468.3  229.4   23.4    5.9   20.2 1810.7   87.7  292.1 1381.5   49.4
1856   71.6   48.0   81.0   63.4   73.9  289.9  504.9  373.8   81.1   12.8    3.9   40.1 1644.4  119.6  218.3 1249.7   56.8
1857   94.6  100.4   38.2   98.1   59.7  161.9  506.7  308.8  157.7   47.0   29.2   14.6 1616.8  195.0  196.0 1135.0   90.8
1858  117.2   94.4   53.3   28.4   42.4  130.8  370.1  593.6  156.6   13.7    3.8   43.2 1647.5  211.6  124.0 1251.2   60.7
1859   56.4  174.6  133.2   94.0   82.9  208.4  327.9  465.1  124.2   14.2    2.7   80.7 1764.3  231.0  310.1 1125.6   97.6
1860   75.3  164.5   62.1   51.3   35.3  117.6  270.9  222.3   87.2   15.9    6.2   16.6 1125.3  239.8  148.7  698.0   38.8
1861   52.8   30.4   54.2   25.8   84.0  246.8  536.1  512.4  119.5    7.4    3.4   43.9 1716.7   83.2  164.0 1414.8   54.7
1862   83.0   11.2   76.9   59.3   46.2  213.7  555.5  459.9  210.0   57.0    2.5   14.3 1789.5   94.2  182.5 1439.0   73.8
1863  112.3   19.9   50.3   61.0   29.1  300.1  470.9  368.6   91.9   83.1   12.0  103.3 1702.5  132.1  140.4 1231.6  198.4
1864   54.3   84.4   60.1  118.5  110.0   48.7  312.6  326.0  104.6   17.0    2.8   46.1 1285.0  138.6  288.7  791.8   65.8
1865   71.1  160.2  217.7   66.3   88.1   57.6  195.5  435.5  192.8    3.6    2.0   57.8 1548.3  231.3  372.1  881.5   63.4
1866  131.7   68.3   13.4   83.2   11.1  137.5  451.8  402.2   48.9   29.0    3.1    6.2 1386.5  200.0  107.8 1040.4   38.3
1867   31.9   54.3   62.9   75.5   87.6  234.4  326.2  356.0   81.1   61.8    2.8   15.6 1389.9   86.2  225.9  997.6   80.2
1868   89.9  166.9   95.4   81.3   45.1  215.7  380.1  261.4   49.4    5.3    1.9   24.1 1416.5  256.8  221.8  906.7   31.2
1869   83.2   36.8  231.3   17.2   14.7   89.8  307.5  320.0  302.3   84.9    1.8   41.6 1531.2  120.0  263.2 1019.6  128.4
1870   33.2   48.2  120.9   47.7   27.0  174.6  380.8  412.6  129.7   30.7    2.2    9.9 1417.5   81.4  195.6 1097.7   42.9
1871   25.2  163.7    5.9   33.4  107.2  332.7  630.3  474.9   93.7    3.6    1.7   43.3 1915.6  188.8  146.5 1531.6   48.6
1872  157.3   51.6   46.6   36.0   44.4  217.6  436.5  414.7  222.8   12.1    4.7   13.7 1658.0  208.9  126.9 1291.7   30.5
1873   67.6   23.0   67.7   10.3   91.7   40.1  416.4  317.0  138.3   11.2    4.4   40.3 1228.1   90.6  169.6  911.9   56.0
1874   72.6  118.7  118.8   22.2   13.5  239.3  483.9  414.8  172.4    4.6    2.2    9.6 1672.8  191.4  154.6 1310.4   16.4
1875   41.4  155.3   27.0   26.4   94.4  171.1  476.6  433.3  243.4   15.8    3.1   20.1 1707.9  196.7  147.7 1324.4   39.0
1876   33.7   50.0   71.2   74.4   53.3   49.6  488.0  506.1  170.0   58.3    2.1    3.9 1560.6   83.7  198.8 1213.7   64.3
1877  148.5  103.5  126.3   90.0   78.8   92.0  207.8  133.5   74.9   47.9   45.7  133.5 1282.5  252.0  295.1  508.3  227.1
1878   69.1  133.6   40.8  168.2  175.5   41.2  388.0  476.1  116.2   11.9    2.1    6.7 1629.5  202.7  384.5 1021.6   20.7
1879   13.4   50.6  109.2   13.7   17.8  253.2  610.9  596.8  221.9   25.0    1.9   31.7 1945.9   64.0  140.6 1682.7   58.6
1880   74.4  166.2    6.9   61.9   84.1  197.5  607.2  256.0  243.5    3.7   26.8   56.4 1784.6  240.6  152.9 1304.1   87.0
1881   18.6   76.6  176.0   27.7   64.7  161.2  317.9  365.0  185.2    9.1    2.4    4.3 1408.8   95.2  268.4 1029.4   15.8
1882   91.7   66.0   28.7   33.4   48.6  184.8  522.4  446.0   62.6    6.6    3.3    8.6 1502.6  157.7  110.7 1215.9   18.4
1883  139.8   16.2   81.2   24.3   98.9  140.0  308.3  295.3  112.0    6.0   60.2   10.9 1293.1  156.1  204.5  855.6   77.0
1884   20.7   52.6   67.5   17.6   30.5  138.5  355.7  505.7  234.4  107.8   14.7   12.6 1558.2   73.3  115.6 1234.2  135.0
