NORTH WEST  INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1826-2006. THE RAINFALL FIGURES ARE IN MM.
Blank spaces indicate data not available.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1826   31.5    3.7    2.1    0.6   14.8  247.0  244.8  366.0    6.1    0.0   12.6    2.7  931.8   35.2   17.5  863.8   15.3
1827   11.5    9.4   41.1    0.7    5.8   68.1  255.8  170.4  271.4    0.0   29.5    3.9  867.5   20.9   47.6  765.7   33.4
1828    9.3   17.5   10.1    1.2   19.4   91.4  192.6  199.2  162.9   66.9    3.0    3.0  776.4   26.8   30.7  646.1   72.9
1829    7.1   12.8   28.0    1.1    4.0   91.4  286.2  187.8  114.4   88.5    1.1    6.6  829.0   19.8   33.2  679.8   96.2
1830    7.1    4.2   19.6    6.7   17.3   90.9  163.9  168.2   84.4   18.8    1.0    2.8  585.1   11.4   43.6  507.5   22.7
1831    7.2    4.3    2.1    0.6    4.3  150.0  171.4  290.5  213.8   93.8   28.4   73.1 1039.5   11.5    7.0  825.7  195.3
1832
1833
1834
1835
1836
1837
1838
1839
1840
1841
1842
1843                               27.9   89.6  211.3  153.1
1844   13.7   10.7    9.0    5.2    9.5   37.3  242.4  207.3   46.7    1.2    0.0    2.5  585.4   24.4   23.7  533.7    3.7
1845    3.7   40.6   12.8    2.0   12.1   92.4  339.0  195.6   26.0    0.6    0.0   12.6  737.4   44.3   26.9  653.1   13.2
1846    2.1    2.9    5.2    0.6   13.6  224.2  280.3   89.1  130.0    7.7    0.0    0.2  755.9    4.9   19.3  723.7    7.9
1847   15.0   14.7    6.6    0.6   10.5  133.9  230.1  200.8  103.3   16.9   29.7    0.4  762.5   29.6   17.8  668.0   47.1
1848    3.1    5.5    0.6    0.4   26.6   61.0  129.1  134.7   73.9   10.2    1.8    8.2  455.2    8.7   27.5  398.8   20.2
