SOUTH PENINSULAR INDIA MONTHLY, SEASONAL AND ANNUAL RAINFALL SERIES FOR THE PERIOD 1813-2006. THE RAINFALL FIGURES ARE IN MM.
YEAR      J      F      M      A      M      J     JU      A      S      O      N      D    ANN     JF    MAM   JJAS    OND
1813    4.0    6.7   22.2   50.0  106.5  308.8  232.6  127.8  126.3  160.8  290.8   44.8 1481.5   10.8  178.7  795.6  496.4
1814    4.4    6.1   14.2   44.9   90.4  225.5  224.2  207.2  233.5  160.6   83.1   37.3 1331.3   10.5  149.5  890.3  280.9
1815   19.8    6.5   15.6   49.2   99.0  225.3  394.5  116.4  125.6  172.5  334.9   51.6 1610.9   26.3  163.8  861.8  559.0
1816    4.2   12.2   13.8   43.7   91.6  219.2  322.7  201.0  228.5  152.3  125.8   19.9 1434.9   16.5  149.1  971.3  298.0
1817    7.3    6.5   15.3   48.4  101.6  247.0  242.0  190.8  235.8  302.1  242.6   61.0 1700.5   13.8  165.4  915.5  605.8
1818    3.7    6.2   14.2   56.8   90.4  215.1  516.4  217.2  155.7  267.9  238.5   68.9 1851.0    9.8  161.4 1104.4  575.3
1819    3.5    5.8   13.2   88.5   83.9  216.4  268.4  116.8  338.9  116.8  111.2   14.2 1377.8    9.3  185.6  940.6  242.3
1820    3.6    6.0  104.4   54.7  414.5  224.2  287.7  159.5   95.4  210.2   63.0  153.8 1777.0    9.6  573.6  766.9  427.0
1821   36.3    6.1   19.0   80.8   93.1  259.9  219.5  177.6  220.8  224.4  124.5   43.5 1505.6   42.4  192.9  877.9  392.4
1822   25.7    6.4   15.3   61.5   97.3  284.7  202.8  269.8  127.3  310.7  215.7   36.5 1653.6   32.1  174.1  884.5  562.9
1823   16.3    6.0   27.3   46.0   97.8  261.6  261.2  164.8  151.3  184.4   35.4   10.4 1262.5   22.3  171.2  838.9  230.2
1824   16.6    6.7   16.0   50.5  102.7  264.3  199.0  177.8   90.0  255.4  124.3   43.5 1346.7   23.3  169.1  731.1  423.2
1825    5.2    6.2   14.2   44.8  170.4  252.4  270.3  266.0  135.6  261.9  119.2   65.2 1611.5   11.4  229.3  924.4  446.3
1826    3.6    6.1   14.1   44.4  109.0  380.9  235.6  306.3  112.6  105.5  251.1   97.6 1666.9    9.7  167.5 1035.5  454.2
1827   76.9    6.4   13.4   42.4  502.1  270.0  316.6  139.4  145.6  222.5  205.7   54.1 1995.0   83.2  557.9  871.6  482.3
